sku,upc,upc_source,missing_upc,url,title
"2815-0004-0008","841298131140","meta:gtin","false","https://www.gobilda.com/zinc-plated-steel-thread-forming-socket-head-screw-m4-x-8mm-length-25-pack","Zinc-Plated Steel Thread-Forming Socket Head Screw (M4 x 8mm Length) - 25 Pack"
"2800-0003-0010","841298136831","meta:gtin","false","https://www.gobilda.com/zinc-plated-steel-socket-head-screw-m3-x-0-5mm-10mm-length-6-pack","Zinc-Plated Steel Socket Head Screw (M3 x 0.5mm, 10mm Length) - 6 Pack"
"2923-1024-4008","841298136169","meta:gtin","false","https://www.gobilda.com/polycarbonate-clamping-collar-8mm-rex-bore-4-pack","Polycarbonate Clamping Collar (8mm REX® Bore) - 4 Pack"
"3315-0008-0110","841298137456","meta:gtin","false","https://www.gobilda.com/8mm-pitch-steel-chain-loop-110-links-880mm-pitch-length","8mm Pitch Steel Chain Loop (110 Links, 880mm Pitch Length)"
"3209-0005-0001","841298134417","meta:gtin","false","https://www.gobilda.com/outlaw-chassis-kit","Outlaw Chassis Kit"
"3801-0121-0060","841298126962","meta:gtin","false","https://www.gobilda.com/xt30-fh-mc-to-2-pos-tjc8-power-connector-mh-fc-adaptor-60mm-length","XT30 [FH-MC] to 2-Pos TJC8 Power Connector [MH-FC] Adaptor (60mm Length)"
"IMC413","841298101570","meta:gtin","false","https://www.gobilda.com/roboclaw-2x30a-motor-controller","RoboClaw 2x30A Motor Controller"
"3412-0009-0320","841298128119","meta:gtin","false","https://www.gobilda.com/3412-series-5mm-htd-pitch-timing-belt-9mm-width-320mm-pitch-length-64-tooth","5mm Pitch HTD Timing Belt (9mm Width, 320mm Pitch Length, 64 Tooth)"
"4100-1214-0200","841298112118","meta:gtin","false","https://www.gobilda.com/4100-series-aluminum-tube-12mm-id-x-14mm-od-200mm-length","4100 Series Aluminum Tube (12mm ID x 14mm OD, 200mm Length)"
"1603-0032-0006","841298113979","meta:gtin","false","https://www.gobilda.com/6mm-bore-face-thru-hole-pillow-block-32mm-x-32mm-mounting-pattern","6mm Bore Face Thru-Hole Pillow Block (32mm x 32mm Mounting Pattern)"
"1515-0015-0120","841298132109","meta:gtin","false","https://www.gobilda.com/12mm-id-steel-spacer-15mm-od-12mm-length-4-pack","12mm ID Steel Spacer (15mm OD, 12mm Length) - 4 Pack"
"4103-0032-0096","841298116918","meta:gtin","false","https://www.gobilda.com/4103-series-gotube-96mm-length","4103 Series goTUBE (96mm Length)"
"1118-0024-0288","841298115171","meta:gtin","false","https://www.gobilda.com/1118-series-open-gorail-288mm-length","1118 Series Open goRAIL® (288mm Length)"
"1609-0610-0004","","","true","https://www.gobilda.com/1609-series-v-groove-bearing-4mm-id-x-10-5mm-od-6mm-thickness-2-pack","1609 Series V-Groove Bearing (4mm ID x 10.5mm OD, 6mm Thickness) - 2 Pack"
"3801-0513-0100","841298115973","meta:gtin","false","https://www.gobilda.com/anderson-powerpole-to-3-5mm-bullet-mh-fc-adaptor-100mm-length","Anderson Powerpole to 3.5mm Bullet [MH-FC] Adaptor (100mm Length)"
"2303-4008-0036","841298128522","meta:gtin","false","https://www.gobilda.com/2303-series-steel-mod-0-8-pinion-gear-8mm-rex-bore-36-tooth","2303 Series Steel, MOD 0.8 Pinion Gear (8mm REX® Bore, 36 Tooth)"
"2801-0004-0008","","","true","https://www.gobilda.com/2801-series-zinc-plated-steel-washer-4mm-id-x-8mm-od","2801 Series Zinc Plated Steel Washer (4mm ID x 8mm OD)"
"3216-0001-0004","","","true","https://www.gobilda.com/shark-4-servo-gearbox-0-56-sec-60-18-rpm-1888-oz-in-torque-630-rotation","Shark-4 Servo Gearbox (0.56 sec/60°, 18 RPM, 1888 oz-in Torque, 630° Rotation)"
"3202-0001-2402","841298122179","meta:gtin","false","https://www.gobilda.com/servoblock-standard-size-24-tooth-spline-10mm-od-shaft","ServoBlock® (Standard Size, 24 Tooth Spline, 10mm OD Shaft)"
