SKU,Quantity,Barcode,Title,UpdatedAt
1101-0001-0008,0,841298112682,"1101 Series U-Beam (1 Hole, 8mm Length)",2026-05-04 21:43:11
1101-0003-0024,0,841298112705,"1101 Series U-Beam (3 Hole, 24mm Length)",2026-05-04 21:43:11
1101-0005-0040,0,841298112729,"1101 Series U-Beam (5 Hole, 40mm Length)",2026-05-04 21:43:11
1101-0007-0056,0,841298112743,"1101 Series U-Beam (7 Hole, 56mm Length)",2026-05-04 21:43:11
1101-0008-0064,0,841298112750,"1101 Series U-Beam (8 Hole, 64mm Length)",2026-05-04 21:43:11
1101-0010-0080,0,841298112774,"1101 Series U-Beam (10 Hole, 80mm Length)",2026-05-04 21:43:11
1101-0021-0168,0,841298112842,"1101 Series U-Beam (21 Hole, 168mm Length)",2026-05-04 21:43:11
1101-0041-0328,0,841298112880,"1101 Series U-Beam (41 Hole, 328mm Length)",2026-05-04 21:43:11
1102-0006-0048,0,841298111357,"1102 Series Flat Beam (6 Hole, 48mm Length) - 2 Pack",2026-05-04 21:43:11
1102-0009-0072,0,841298111388,"1102 Series Flat Beam (9 Hole, 72mm Length) - 2 Pack",2026-05-04 21:43:11
1102-0013-0104,0,841298111425,"1102 Series Flat Beam (13 Hole, 104mm Length) - 2 Pack",2026-05-04 21:43:11
1102-0019-0152,0,841298111456,"1102 Series Flat Beam (19 Hole, 152mm Length) - 2 Pack",2026-05-04 21:43:11
1102-0021-0168,5,841298111463,"1102 Series Flat Beam (21 Hole, 168mm Length) - 2 Pack",2026-05-04 21:43:11
1102-0041-0328,0,841298111500,"1102 Series Flat Beam (41 Hole, 328mm Length) - 2 Pack",2026-05-04 21:43:11
1103-0005-0040,0,841298112934,"1103 Series L-Beam (5 Hole, 40mm Length) - 2 Pack",2026-05-04 21:43:11
1103-0007-0056,0,841298112958,"1103 Series L-Beam (7 Hole, 56mm Length) - 2 Pack",2026-05-04 21:43:11
1103-0019-0152,0,841298113047,"1103 Series L-Beam (19 Hole, 152mm Length) - 2 Pack",2026-05-04 21:43:11
1103-0029-0232,0,841298113078,"1103 Series L-Beam (29 Hole, 232mm Length) - 2 Pack",2026-05-04 21:43:11
1105-0004-0104,0,841298135193,"1105 Series Round-End Pattern Plate (4 Hole, 104mm Length)",2026-05-04 21:43:11
1106-0003-0024,0,841298113146,"1106 Series Square Beam (3 Hole, 24mm Length)",2026-05-04 21:43:11
1106-0006-0048,0,841298113177,"1106 Series Square Beam (6 Hole, 48mm Length)",2026-05-04 21:43:11
1106-0011-0088,0,841298113221,"1106 Series Square Beam (11 Hole, 88mm Length)",2026-05-04 21:43:11
1106-0013-0104,0,841298113245,"1106 Series Square Beam (13 Hole, 104mm Length)",2026-05-04 21:43:11
1106-0019-0152,0,841298113276,"1106 Series Square Beam (19 Hole, 152mm Length)",2026-05-04 21:43:11
1106-0033-0264,0,841298113313,"1106 Series Square Beam (33 Hole, 264mm Length)",2026-05-04 21:43:11
