Barcode,SKU,Title,ImageURL,ProductURL
841298116598,2800-0004-0022,M4 x 0.7mm Zinc-Plated Socket Head Screw (22mm Length) - 25 Pack,https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/868w/products/478/3254/2800-0004-0022__72321__69680.1701991837.jpg,https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-22mm-length-25-pack
841298115126,1118-0024-0072,1118 Series Open goRAIL (72mm Length),https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/2400x2400/products/232/1706/1118-0024-0072Patented__72020__16140.1701991364.jpg?c=1,https://www.gobilda.com/1118-series-open-gorail-72mm-length/
841298111463,1102-0021-0168,"1102 Series Flat Beam (21 Hole, 168mm Length) - 2 Pack",https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/2400x2400/products/144/697/1102-0021-0168__85660__51898.1701991055.jpg?c=1,https://www.gobilda.com/1102-series-flat-beam-21-hole-168mm-length-2-pack/
841298109590,2802-0004-0012,"2802 Series Zinc-Plated Steel Button Head Screw (M4 x 0.7mm, 12mm Length) - 25 Pack",https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/2400x2400/products/486/3270/2802-0004-0012__96236__00662.1701991843.jpg?c=1,https://www.gobilda.com/2802-series-zinc-plated-steel-button-head-screw-m4-x-0-7mm-12mm-length-25-pack/
841298116604,2800-0004-0025,M4 x 0.7mm Zinc-Plated Socket Head Screw (25mm Length) - 25 Pack,https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/2400x2400/products/480/3258/2800-0004-0025__25226__82780.1701991838.jpg?c=1,https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-25mm-length-25-pack/
841298113276,1106-0019-0152,"1106 Series Square Beam (19 Hole, 152mm Length)",https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/2400x2400/products/184/15529/1106-0019-0152__69509.1763759029.jpg?c=1,https://www.gobilda.com/1106-series-square-beam-19-hole-152mm-length/
841298132314,1910-0025-0816,"1910 Series Servo Hub Shaft (25 Tooth Spline, 8mm Shaft Diameter, 16mm Length)",https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/original/products/1739/9171/1910-0025-0816_Ang1__00688__74414.1740174419.jpg?c=1,https://www.gobilda.com/1910-series-servo-hub-shaft-25-tooth-spline-8mm-shaft-diameter-16mm-length/
841298131515,1516-4008-1440,"1516 Series 8mm REX Standoff (M4 x 0.7mm Threads, 144mm Length) - 4 Pack",https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/2400x2400/products/1860/10020/1516-4008-1440__07342__54024.1701993971.jpg?c=1,https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-144mm-length-4-pack/
841298135100,2317-4008-0024,"2317 Series MOD 0.8 Steel Miter Gear (Set-Screw, 8mm REX Bore, 24 Tooth)",https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/original/products/1825/9845/2317-4008-0024%5FAng2%5F%5F83093%5F%5F09431.1701993918.jpg?c=1,https://www.gobilda.com/2317-series-mod-0-8-steel-miter-gear-set-screw-8mm-rex-bore-24-tooth/
841298128522,2303-4008-0036,"2303 Series Steel, MOD 0.8 Pinion Gear (8mm REX Bore, 36 Tooth)",https://cdn11.bigcommerce.com/s-x56mtydx1w/images/stencil/original/products/1369/14647/2303-4008-0036-Ang1%5F%5F53680.1743169919.jpg?c=1,https://www.gobilda.com/2303-series-steel-mod-0-8-pinion-gear-8mm-rex-bore-36-tooth/
